gene	log2PAO1A1	log2PAO1A2	log2PAO1A3	log2PAO1B1	log2PAO1B2	log2PAO1B3	log2PAO1C1	log2PAO1C2	log2PAO1C3	log2mutSA1	log2mutSA2	log2mutSA3	log2mutSB1	log2mutSB2	log2mutSB3	log2mutSC1	log2mutSC2	log2mutSC3
PA2000_at	-1.357276839	-1.677336097	-1.797266163	-2.928604203	-5.354049869	1.474734095	-0.572811438	-0.007845928	-2.749827229	-0.021672471	-0.243942626	0.428380866	0.501558516	5.288305334	1.675723232	2.119492046	-0.085212895	-0.180028982
PA1999_at	-1.398506703	-1.260993172	-1.63645879	-2.654189457	-4.978327064	2.219717873	-0.616386199	0.296179088	-3.555109838	0.063697541	-0.710572384	0.593237293	0.599886321	5.393242687	2.066361384	2.199895903	-0.261686139	0.169644172
PA3331_at	-0.180128764	-0.638882785	-1.392168822	-6.055519408	-5.020826853	-0.208698027	-1.552046623	-1.410728513	-3.695644785	-0.062926937	0.716916231	0.441058439	-0.182548664	-0.114099061	0.260190129	0.521397372	-0.122032762	-0.084147484
PA0122_at	-1.704455386	-1.942101571	-2.676868599	-4.549236875	-4.897959071	-0.084595608	-1.059055703	-0.591157969	-2.737590276	0.102305969	-0.110747518	0.182657873	-0.299492586	0.002475402	0.217580997	0.556471291	-0.091629703	0.067259034
PA3334_at	0.404006101	-1.225204838	-1.814426423	-5.743449234	-4.84687407	-0.46640875	-0.915058334	-1.474263133	-2.823840205	-0.196305544	0.514942829	0.242510984	-0.148055234	-0.088593923	0.201990111	0.350062766	0.193400482	-0.010630602
PA2567_at	-2.789935313	-2.933863175	-2.989684	-2.660146241	-1.038479698	-1.608668506	-1.674290094	0.104338054	-1.475847276	-0.031408679	-0.222243522	-0.495958561	0.802094267	1.228587242	1.141130417	0.157079485	0.24794849	0.010033788
PA4217_at	-0.339555575	-0.275127322	-0.333195999	-4.934363684	-6.495801109	1.516935515	-0.584108911	-0.821574338	-2.481940869	0.094623454	0.324022308	4.122230158	-0.009852424	-0.08030079	0.05938703	0.509937218	0.091465037	-0.117461699
PA0176_at	-1.35315197	-1.316849798	-1.797261542	-3.562775222	-2.692424695	-0.407146784	-1.340195339	-1.869101499	-0.734120637	0.11855951	0.249546445	0.23898111	0.156245127	0.365222464	0.4472093	0.714529178	-0.030016842	-0.29577648
PA3330_at	0.01573122	-0.499805967	-0.377449414	-5.201367859	-4.437191506	-0.459159822	-0.893868562	-1.680849589	-3.343004557	0.087338756	0.253730195	0.399292613	-0.037527149	-0.13945879	0.039391128	0.510964154	0.451657176	-0.291561436
PA2001_atoB_at	-0.923809041	-0.847563049	-0.979787742	-2.264145319	-4.154140337	0.914374996	-0.487504578	0.16911637	-2.007158991	-0.37166999	-0.295187717	0.060785885	0.274342911	3.386035306	0.986811468	2.082353418	-0.072953922	0.1685394
PA3332_at	0.252634089	-0.687904006	-0.960160571	-4.869948091	-3.865823831	-0.50952859	-1.141370875	-1.20191054	-2.451781757	-0.104928801	0.44679149	0.302105152	0.078526048	0.073545009	0.313569404	0.04788064	0.269905279	-0.131277489
PA2366_at	-0.645312314	-0.588086571	-0.826924853	-3.400458829	-4.744442885	0.459070617	0.187147073	-0.956090032	-2.14124116	0.097643815	0.454454083	-0.020671281	-0.146953289	-0.150909103	0.058431668	0.596581822	0.267926705	-0.169277618
PA3333_fabH2_at	0.00031226	-0.621905642	-0.825035435	-4.771871757	-4.097271868	-0.343475163	-1.168552742	-1.476454088	-3.01113876	0.158270552	0.011706331	0.331241526	-0.274843894	-0.238179139	0.274627871	0.600039791	-0.216087211	-0.326526871
PA3329_at	0.005025294	-0.749540097	-0.416913467	-5.302281571	-4.741156534	-0.321251927	-1.963841144	-0.82586877	-3.556556245	0.131597654	0.185746699	0.403390575	0.008232852	-0.216121651	0.019104605	0.559027026	0.166898711	-0.391762923
PA3328_at	-0.364089774	-0.429591608	-0.390200764	-5.048884007	-4.095895202	-0.834692858	-0.929776747	-1.666075205	-3.812411864	0.258870827	0.335332901	0.304322212	-0.266529467	-0.125215234	0.160613795	0.182560064	0.173228269	-0.291192565
PA5352_at	-0.787962252	-1.595593472	-2.135051469	-2.966894248	-3.642017626	-0.515326659	-0.441683704	-0.482398488	-0.869647715	0.34042178	-0.281382671	-0.094889869	-0.188369837	0.654336929	0.75320584	1.872924162	-0.250856206	0.08596423
PA0179_at	-1.575454065	-1.225914926	-2.242191133	-2.965513573	-1.83773279	-0.729961974	-2.113152269	-1.91353068	-0.730504206	-0.096432052	0.363519984	-0.101327698	0.010101743	0.461300465	-0.092203919	0.210155417	-0.260635896	0.289051797
PA3335_at	-0.13627872	-0.808538781	-1.19902463	-4.710454703	-3.639874593	-0.335467688	-1.389518583	-0.659668309	-2.547057841	-0.103500522	0.253635474	0.302619802	-0.017578339	-0.155206066	0.154984896	0.629533165	-0.280813314	-0.127356072
PA2788_at	-4.53278113	-4.64541076	-4.515140103	-5.218565331	-3.52754257	-0.852912607	-3.366270947	-0.723330898	-2.7934675	0.639842455	0.96080192	0.925721469	0.048496679	0.117192679	-0.379642013	0.210910125	-0.170646477	-0.775044729
PA2193_hcnA_at	0.029192908	-0.261648257	-0.288848724	-3.642388104	-5.294862983	0.883384777	-0.662797355	0.240535446	-3.39488448	0.385273468	0.021245416	0.086969699	-0.180672792	-0.075242521	2.113370241	0.783952953	-0.070988195	-0.321736158
PA1173_napB_at	-0.317713756	-0.594197194	-0.947965706	-3.330198186	-3.386196863	-0.216100433	-0.057817858	-1.213203337	-0.985780532	0.385176823	0.012188337	-0.266491517	0.541698044	0.842740752	0.491568681	1.002572828	0.358402901	0.077829301
PA1869_at	-0.003901706	-0.756668503	-1.187307782	-3.606461643	-3.300309406	-1.10150955	0.140989058	0.103243347	-1.966119767	0.421992838	0.414467782	0.087514924	0.145686508	-0.104454134	0.790249018	0.682795721	0.207030275	0.11937556
PA2003_bdhA_at	-0.280296397	-0.562015216	-0.624557496	-2.05377515	-2.713991534	0.317157558	0.076556986	-0.913248608	-1.032941568	-0.234508349	0.203620497	-0.042786972	0.740381871	3.260606151	0.811064496	1.234982507	-0.51790254	0.23242714
PA0175_at	-0.650652836	-1.094246794	-1.140188392	-3.182434857	-2.761566708	-0.505782925	-1.183090371	-1.720530576	-0.849098292	0.020604029	0.090604711	0.031951375	-0.13927229	-0.042375442	-0.077749912	0.406370911	-0.196418766	-0.044525451
PA3361_at	-0.283210957	-0.766780179	-0.947444224	-3.265254314	-4.006133014	-0.181223572	-0.009755399	-0.239337142	-1.578210917	0.83150747	-0.028858843	0.821667581	-0.188003138	-0.110459279	-0.08703441	0.560082056	0.032458666	-0.233650083
PA1001_phnA_at	0.670815693	-0.079866287	-0.168421829	-1.478024417	-3.543471552	0.393029936	-0.940495783	-0.933841525	-1.917657235	0.174619755	0.139114581	0.424593	0.245875192	0.916688226	1.903450971	0.628381156	0.082389994	0.35265137
PA0177_at	-0.362493121	-1.004890984	-0.693122268	-2.887063863	-2.180479965	-0.92464852	-1.319786514	-1.261035069	-0.752111721	0.28148955	0.162980802	0.535574772	-0.123363265	-0.049079314	0.386433741	0.603591042	-0.263824213	-0.342917876
